shape,n_points,eig_index,eigenvalue,uncanon_score,is_uncanonicalizable,spectral_gap
symmetria/human/inst02_noise0.010,896,0,-0.00000000,2.000000,False,0.06775703
symmetria/human/inst02_noise0.010,896,1,0.06775703,0.185505,False,0.06775703
symmetria/human/inst02_noise0.010,896,2,0.22401375,0.243853,False,0.06775703
symmetria/human/inst02_noise0.010,896,3,0.36018181,0.095647,True,0.06775703
symmetria/human/inst02_noise0.010,896,4,0.52038493,0.327626,False,0.06775703
symmetria/human/inst02_noise0.010,896,5,0.64967869,0.170006,False,0.06775703
symmetria/human/inst02_noise0.010,896,6,0.81007681,0.235880,False,0.06775703
symmetria/human/inst02_noise0.010,896,7,0.98012356,0.102149,True,0.06775703
symmetria/human/inst02_noise0.010,896,8,1.20319656,0.250068,False,0.06775703
symmetria/human/inst02_noise0.010,896,9,1.27573882,0.186955,False,0.06775703
symmetria/human/inst02_noise0.010,896,10,1.39505013,0.144870,True,0.06775703
symmetria/human/inst02_noise0.010,896,11,1.58571549,0.239671,False,0.06775703
symmetria/human/inst02_noise0.010,896,12,1.67831096,0.052070,True,0.06775703
symmetria/human/inst02_noise0.010,896,13,1.71472241,0.174564,False,0.06775703
symmetria/human/inst02_noise0.010,896,14,1.90952047,0.407918,False,0.06775703
symmetria/human/inst02_noise0.010,896,15,2.16367243,0.104692,True,0.06775703
symmetria/human/inst02_noise0.010,896,16,2.24824497,0.352815,False,0.06775703
symmetria/human/inst02_noise0.010,896,17,2.35417767,0.132398,True,0.06775703
symmetria/human/inst02_noise0.010,896,18,2.66273059,0.270849,False,0.06775703
symmetria/human/inst02_noise0.010,896,19,2.67997515,0.094156,True,0.06775703
symmetria/human/inst02_noise0.050,896,0,-0.00000000,2.000000,False,0.07193778
symmetria/human/inst02_noise0.050,896,1,0.07193778,0.216723,False,0.07193778
symmetria/human/inst02_noise0.050,896,2,0.22805079,0.264987,False,0.07193778
symmetria/human/inst02_noise0.050,896,3,0.35504059,0.088339,True,0.07193778
symmetria/human/inst02_noise0.050,896,4,0.52240332,0.311190,False,0.07193778
symmetria/human/inst02_noise0.050,896,5,0.63213208,0.245187,False,0.07193778
symmetria/human/inst02_noise0.050,896,6,0.82453665,0.211791,False,0.07193778
symmetria/human/inst02_noise0.050,896,7,0.96893078,0.164090,True,0.07193778
symmetria/human/inst02_noise0.050,896,8,1.21480575,0.263834,False,0.07193778
symmetria/human/inst02_noise0.050,896,9,1.30370867,0.133924,True,0.07193778
symmetria/human/inst02_noise0.050,896,10,1.40537485,0.298966,False,0.07193778
symmetria/human/inst02_noise0.050,896,11,1.53005035,0.297651,False,0.07193778
symmetria/human/inst02_noise0.050,896,12,1.68129745,0.093933,True,0.07193778
symmetria/human/inst02_noise0.050,896,13,1.84956843,0.139854,True,0.07193778
symmetria/human/inst02_noise0.050,896,14,2.00843300,0.541332,False,0.07193778
symmetria/human/inst02_noise0.050,896,15,2.22620109,0.208316,False,0.07193778
symmetria/human/inst02_noise0.050,896,16,2.25874500,0.172145,False,0.07193778
symmetria/human/inst02_noise0.050,896,17,2.40314165,0.141212,True,0.07193778
symmetria/human/inst02_noise0.050,896,18,2.63829139,0.066654,True,0.07193778
symmetria/human/inst02_noise0.050,896,19,2.74766519,0.101139,True,0.07193778
symmetria/human/inst03_noise0.000,896,0,-0.00000000,2.000000,False,0.06707053
symmetria/human/inst03_noise0.000,896,1,0.06707053,0.305607,False,0.06707053
symmetria/human/inst03_noise0.000,896,2,0.22980539,0.159782,True,0.06707053
symmetria/human/inst03_noise0.000,896,3,0.32804276,0.217025,False,0.06707053
symmetria/human/inst03_noise0.000,896,4,0.50539258,0.097068,True,0.06707053
symmetria/human/inst03_noise0.000,896,5,0.67667965,0.075281,True,0.06707053
symmetria/human/inst03_noise0.000,896,6,0.83277935,0.197822,False,0.06707053
symmetria/human/inst03_noise0.000,896,7,0.86480578,0.218949,False,0.06707053
symmetria/human/inst03_noise0.000,896,8,1.16463951,0.433089,False,0.06707053
symmetria/human/inst03_noise0.000,896,9,1.27024777,0.161773,True,0.06707053
symmetria/human/inst03_noise0.000,896,10,1.37636987,0.149317,True,0.06707053
symmetria/human/inst03_noise0.000,896,11,1.64725273,0.085619,True,0.06707053
symmetria/human/inst03_noise0.000,896,12,1.65213969,0.116805,True,0.06707053
symmetria/human/inst03_noise0.000,896,13,1.68381326,0.465317,False,0.06707053
symmetria/human/inst03_noise0.000,896,14,1.95819738,0.179663,False,0.06707053
symmetria/human/inst03_noise0.000,896,15,2.05080664,0.104419,True,0.06707053
symmetria/human/inst03_noise0.000,896,16,2.17120937,0.075470,True,0.06707053
